,,,accuracy,precision,recall,fscore
English-all,balanced,KNN 3,0.9919376693766937,0.9873072500818914,0.9966421182436406,0.9919408353579385
English-all,balanced,KNN 5,0.9906842818428185,0.9828896583300096,0.99885137980088,0.9908058278148593
English-all,balanced,KNN 7,0.9896906052393856,0.9799961368652387,0.9998669328010645,0.9898295608471365
English-all,balanced,KNN 9,0.9889566395663956,0.9784126260463054,1.0,0.9890865934937482
English-all,balanced,MOST FREQUEST CLASS,0.495946251129178,0.24789972899728996,0.5,0.3314583261459892
English-all,balanced,RANDOM CLASS,0.5002032520325204,0.5018517137460449,0.49945862943270003,0.5006465660887837
Finnish-all,no_balanced,LOGISTIC REGRESION,0.9726002971768202,0.8337128757094199,0.8058620494368199,0.813786816464666
Finnish-all,no_balanced,DECISION TREE,0.9675482912332838,0.8300534800272855,0.7086032485980085,0.7589437798700756
Finnish-all,no_balanced,KNN 3,0.9804160475482911,0.840944724449628,0.90108406714342,0.8685795616457644
Finnish-all,no_balanced,KNN 5,0.9808320950965825,0.8487367277462955,0.9028998272118601,0.8741708684504212
Finnish-all,no_balanced,KNN 7,0.9797028231797921,0.8508321738840641,0.9026202001182526,0.8741388499541859
Finnish-all,no_balanced,KNN 9,0.9807132243684993,0.8408119835758685,0.9068368426376286,0.8706402456845377
Finnish-all,no_balanced,MOST FREQUEST CLASS,0.9266567607726598,0.0,0.0,0.0
Finnish-all,no_balanced,RANDOM CLASS,0.4965230312035661,0.07532595235981807,0.5021093937728682,0.13095938130395934
Finnish-all,balanced,LOGISTIC REGRESION,0.9611102197978502,0.9528422758543356,0.9708667589425086,0.9613114811862461
Finnish-all,balanced,DECISION TREE,0.9209850794160115,0.9878085616850383,0.8535745047248285,0.9149286912643131
Finnish-all,balanced,KNN 3,0.9744424835552705,0.9764526559862119,0.9721894599093908,0.9742813897175537
Finnish-all,balanced,KNN 5,0.9804748917054388,0.976507963287202,0.9847196660215802,0.9805752103632148
Finnish-all,balanced,KNN 7,0.9786298732552542,0.971568396504191,0.9862306814144578,0.9788342594237722
Finnish-all,balanced,KNN 9,0.9785336114230707,0.9660768465685494,0.9919522510367722,0.9788249546410033
Finnish-all,balanced,MOST FREQUEST CLASS,0.49571634846783247,0.34782608695652173,0.7,0.4647271247904505
Finnish-all,balanced,RANDOM CLASS,0.5012353601796888,0.5005185480545189,0.4981476873410481,0.4993034007952475
French-all,no_balanced,LOGISTIC REGRESION,0.9851805054151624,0.8109482049604357,0.8883342487983746,0.8410617280638482
French-all,no_balanced,DECISION TREE,0.9861552346570397,0.8815252097727744,0.8028954783090969,0.8374888651549556
French-all,no_balanced,KNN 3,0.9877797833935018,0.8253482848135848,0.9160769857655342,0.8639496131082337
French-all,no_balanced,KNN 5,0.9867328519855596,0.8047139391393617,0.9305233705482812,0.8600758145876541
French-all,no_balanced,KNN 7,0.9878519855595668,0.8390448604892304,0.9138267665957521,0.8709364304201628
French-all,no_balanced,KNN 9,0.9873826714801444,0.8531957418884119,0.8906885389604227,0.8658856193905045
French-all,no_balanced,MOST FREQUEST CLASS,0.9546389891696749,0.0,0.0,0.0
French-all,no_balanced,RANDOM CLASS,0.5046931407942239,0.04472546366840134,0.49728485941901746,0.0820617831979474
French-all,balanced,LOGISTIC REGRESION,0.9710479070206937,0.966174128739637,0.9765816671153447,0.9711791989377101
French-all,balanced,DECISION TREE,0.9545025040158744,0.9925375194953864,0.9159851726390537,0.9517774470562284
French-all,balanced,KNN 3,0.9803930832467165,0.9879945227904393,0.9727500189411729,0.9801464897510549
French-all,balanced,KNN 5,0.9860625531512804,0.9839028050080243,0.9883618207942343,0.9860298842668687
French-all,balanced,KNN 7,0.9874893697439291,0.9825075196691039,0.9928531861558307,0.9876161013543516
French-all,balanced,KNN 9,0.9875271662099594,0.9761536551645122,0.9994887738590551,0.9876827624437015
French-all,balanced,MOST FREQUEST CLASS,0.49746763677596145,0.2985637342908438,0.6,0.3987201922334056
