,,,accuracy,precision,recall,fscore
Russian-all,balanced,MOST FREQUEST CLASS,0.497163305139883,0.2483148991541965,0.5,0.33183011795996525
Russian-all,balanced,RANDOM CLASS,0.49979180221210145,0.5017661814778644,0.4986000308461489,0.5001442853307908
Spanish-all,no_balanced,LOGISTIC REGRESION,0.9779260388867709,0.7627387014453673,0.8313328771869068,0.784345844535615
Spanish-all,no_balanced,DECISION TREE,0.974818909645444,0.7851841096829442,0.6261926451421845,0.6883636266437105
Spanish-all,no_balanced,KNN 3,0.981204727411361,0.7635635104812488,0.8798751819205807,0.814651424013783
Spanish-all,no_balanced,KNN 5,0.9820243995425086,0.7990517273414879,0.8455135515668047,0.8166688810697951
Spanish-all,no_balanced,KNN 7,0.9830156309569196,0.8137449575082151,0.8488276886461884,0.8265721048383516
Spanish-all,no_balanced,KNN 9,0.9831300038124287,0.8068584713618087,0.864665891120486,0.8314444134825159
Spanish-all,no_balanced,MOST FREQUEST CLASS,0.9541936713686618,0.0,0.0,0.0
Spanish-all,no_balanced,RANDOM CLASS,0.49817003431185664,0.04681546968295095,0.5017612149335123,0.08562012925088383
Spanish-all,balanced,LOGISTIC REGRESION,0.9670969678775142,0.9553151367929864,0.9802660564215584,0.9675578770716623
Spanish-all,balanced,DECISION TREE,0.9297007905533874,0.9900177099202339,0.867766610221452,0.9243671437214452
Spanish-all,balanced,KNN 3,0.9840288201741219,0.9818590809382339,0.9863254836580779,0.9840614624230544
Spanish-all,balanced,KNN 5,0.9841188832182528,0.9773074601256132,0.9911873987398951,0.9841784423409979
Spanish-all,balanced,KNN 7,0.9844891423996799,0.9730265704526161,0.9966063351607376,0.9846678053276122
Spanish-all,balanced,KNN 9,0.9845191634143899,0.970869858103733,0.9989453631172541,0.9847052265337384
Spanish-all,balanced,MOST FREQUEST CLASS,0.49629740818573004,0.2972480736515561,0.6,0.3975435906690653
Spanish-all,balanced,RANDOM CLASS,0.5004803362353648,0.5009628762009062,0.5031003481433656,0.5020098776370489
Swedish-all,no_balanced,LOGISTIC REGRESION,0.9766066838046272,0.7659981877262828,0.8959531619709244,0.8120348691657512
Swedish-all,no_balanced,DECISION TREE,0.9744332788034589,0.8160114040638298,0.7460007873665973,0.7660697439556186
Swedish-all,no_balanced,KNN 3,0.979387707408273,0.765801797444834,0.9355948906305922,0.8385841084414846
Swedish-all,no_balanced,KNN 5,0.9815143725169433,0.830479828144799,0.8739361884058766,0.8421632483887549
Swedish-all,no_balanced,KNN 7,0.9834774480018694,0.8115394097731146,0.9388889097669011,0.8668286544487916
Swedish-all,no_balanced,KNN 9,0.9818649217106801,0.8188069485356346,0.9063203059314576,0.8498945420863571
Swedish-all,no_balanced,MOST FREQUEST CLASS,0.9427202617433978,0.0,0.0,0.0
Swedish-all,no_balanced,RANDOM CLASS,0.5025005842486562,0.06054057211081469,0.5123890098168902,0.10826918196445694
Swedish-all,balanced,LOGISTIC REGRESION,0.9717617866004964,0.9655998339813265,0.9787598602031412,0.9720006688405647
Swedish-all,balanced,DECISION TREE,0.9640818858560793,0.9928759859555543,0.9346760577907196,0.96281570070799
Swedish-all,balanced,KNN 3,0.984454094292804,0.9859119082417628,0.9829906652262365,0.9844170968226355
Swedish-all,balanced,KNN 5,0.9868982630272954,0.9808764695701486,0.9932205939185706,0.9869989917781499
Swedish-all,balanced,KNN 7,0.9876550868486353,0.9809517426945396,0.9946165245341637,0.9877206539955928
Swedish-all,balanced,KNN 9,0.9867369727047148,0.9778555882526001,0.996102022091538,0.9868840569122714
Swedish-all,balanced,MOST FREQUEST CLASS,0.49501240694789084,0.14839950372208438,0.3,0.19857036533337252
Swedish-all,balanced,RANDOM CLASS,0.49756823821339946,0.49697203014535224,0.4971019520633927,0.4970072738495099
Thai-all,no_balanced,LOGISTIC REGRESION,0.9765613652868556,0.7120501884653707,0.854937271376869,0.7701683296963033
Thai-all,no_balanced,DECISION TREE,0.9737654320987653,0.7581837668675265,0.6235825200055644,0.6828398157598595
Thai-all,no_balanced,KNN 3,0.9781590413943355,0.7210728311419257,0.868915025300789,0.781938650859569
Thai-all,no_balanced,KNN 5,0.9784676833696441,0.7408524422394105,0.8571880855997863,0.7880252416674939
Thai-all,no_balanced,KNN 7,0.977323892519971,0.7010626856124078,0.8866347012990822,0.780307918308713
Thai-all,no_balanced,KNN 9,0.976270878721859,0.6786190343365596,0.8965823972866748,0.7681155927016269
Thai-all,no_balanced,MOST FREQUEST CLASS,0.9550835148874365,0.0,0.0,0.0
Thai-all,no_balanced,RANDOM CLASS,0.4991648511256354,0.04523344873988031,0.5005424319890601,0.0829477853394898
Thai-all,balanced,LOGISTIC REGRESION,0.9585908529048209,0.9500227524596905,0.9681879949914982,0.9589103013145526
Thai-all,balanced,DECISION TREE,0.926452410383189,0.9862911381602737,0.8648490929645334,0.9209950836375196
Thai-all,balanced,KNN 3,0.9730816772843968,0.9767418674607911,0.9693402939956781,0.9729933293654977
Thai-all,balanced,KNN 5,0.9791195207758866,0.974881600385215,0.9835045706014306,0.9790766806112259
Thai-all,balanced,KNN 7,0.9761433868974041,0.9694083242166569,0.9834623418416986,0.9763021262820546
Thai-all,balanced,KNN 9,0.9771893125415992,0.9645724715279901,0.9907844090764362,0.977494928510889
Thai-all,balanced,MOST FREQUEST CLASS,0.49713796710088437,0.19928686887895788,0.4,0.26603181431445966
Thai-all,balanced,RANDOM CLASS,0.49832651896928787,0.4993520025219511,0.49842541431166143,0.498882350246848
Turkish-all,no_balanced,LOGISTIC REGRESION,0.9703613148600925,0.8374353090141378,0.7197126801694577,0.7672801785429133
Turkish-all,no_balanced,DECISION TREE,0.9688671556642218,0.7608500585784552,0.8040516016098467,0.7806656961420023
Turkish-all,no_balanced,KNN 3,0.9751969573485466,0.7988560024557769,0.8525294969422343,0.8226957721381485
Turkish-all,no_balanced,KNN 5,0.9760934528660691,0.7942969502685959,0.8810833027092577,0.8342033640481781
Turkish-all,no_balanced,KNN 7,0.9770714479760935,0.808678116243955,0.8668346720211184,0.8347397207770071
Turkish-all,no_balanced,KNN 9,0.9768269491985873,0.8128867587080751,0.8611341963259782,0.8344716692841991
Turkish-all,no_balanced,MOST FREQUEST CLASS,0.9323281716924748,0.0,0.0,0.0
Turkish-all,no_balanced,RANDOM CLASS,0.501847324096713,0.06848435658665122,0.5083473070605551,0.12067761445102457
Turkish-all,balanced,LOGISTIC REGRESION,0.9494318181818182,0.952296898310221,0.9477972032908054,0.9495550640309627
Turkish-all,balanced,DECISION TREE,0.9055652680652682,0.9839485021903777,0.8261076943073586,0.896778993754953
Turkish-all,balanced,KNN 3,0.9677156177156176,0.9765947986224314,0.9585099743774015,0.9674272533769399
Turkish-all,balanced,KNN 5,0.9756410256410257,0.9700458705612922,0.9814078729614539,0.975671541846031
Turkish-all,balanced,KNN 7,0.9729458041958041,0.9647782829831545,0.9817171672583449,0.9731570773532461
Turkish-all,balanced,KNN 9,0.9748834498834498,0.9603827529199324,0.9908978356237513,0.975391408789189
Turkish-all,balanced,MOST FREQUEST CLASS,0.4955419580419581,0.24831002331002333,0.5,0.33182745691542237
Turkish-all,balanced,RANDOM CLASS,0.503467365967366,0.5017021564409964,0.5013562733794397,0.5014566958942246
