n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
18	5.33333	2.94444	20.8889	11.6111	96	53	376	209	105	0.352941	0.125	43	2.52941	8	19	8	13	8	1	0	3.87907	35	95.0889	-3.58925	35	107.667	62	69.4074	263.889	-4.47327	28	28	28	150	117	2.05882	2	1.11765	1	5	2	1	2	1.17647	1	5	2.05882	1	2	0.761765	0.2	1	0.673529	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	4.9	2.45	15.4	7.25	98	49	308	145	141	0.473684	0.0784314	50	2.63158	12	21	1	21	8	3	0	6.62543	47	141.167	-3.95578	48	133	62.5	78.8167	351.4	-4.53438	31	31	31	172	108	2.52632	2	1.42105	1	4	2	1	3	1.78947	1	4	2.52632	1	3	1.10088	0.25	1	0.653509	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5.8	3.15	26.2	13.85	116	63	524	277	132	0.315789	0.137255	50	2.63158	7	21	7	21	6	4	0	4.98768	44	131.989	-3.82987	43	133	72.5	81.8833	385	-4.58682	37	37	37	168	136	2.26316	2	1.21053	1	4	1.84211	1	3	1.47368	1	4	2.26316	1	3	1.00439	0.25	1	0.618421	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
13	5.23077	2.92308	21.6923	12	68	38	282	156	44	0.333333	0.2	24	2	2	8	8	14	5	2	0	0	14.6667	27.9333	-2.77505	25	56	36.6667	40.2564	92.4	-3.22497	21	21	21	72	63	2.08333	2	1.16667	1	4	1.83333	1	2	1.33333	1	4	2.08333	1	2	0.9375	0.25	1	0.659722	0.25	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
12	4.5	2.08333	13.3333	4.91667	54	25	160	59	39	0.454545	0.133333	30	2.72727	2	7	2	7	5	1	0	1.58579	13	24.4444	-2.62938	22	47.6667	31.5	34.0278	66.1556	-3.15563	17	17	18	63	54	2	2	1.18182	1	4	1.81818	1	2	1.27273	1	4	2	1	2	0.871212	0.25	1	0.704545	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
36	5.83333	3.30556	24.2778	15.1389	210	119	874	545	525	0.371429	0.0641711	93	2.65714	4	29	17	37	9	12	0	11.6156	175	893.1	-5.85582	109	431.667	167	194.815	2388.56	-6.60217	71	71	71	490	333	3.11429	3	1.8	1	5	2.34286	1	4	2.17143	1	7	3.11429	1	4	1.1119	0.333333	1	0.640816	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
13	7.38462	5.69231	43.8462	36	96	74	570	468	30	0.0833333	0.454545	17	1.41667	6	12	6	14	3	0	0	9.4457	10	25	-2	42	56	45.1667	46.7692	112	-1.32288	27	27	27	78	78	3.5	1	1	1	6	3.5	1	1	1	1	6	3.5	1	1	0.408333	0.166667	1	0.408333	0.166667	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0
21	5.33333	2.95238	19.619	11.2381	112	62	412	236	154	0.4	0.0994152	57	2.85	6	8	8	22	7	3	0	4.93042	51.3333	158.311	-4.07985	55	146.667	84.5	86.9524	428.267	-4.4295	35	35	35	186	169	2.75	3	1.8	1	4	2.25	1	3	2.1	1	4	2.75	1	3	1.075	0.5	1	0.691667	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
16	5	2.5625	17.25	8.0625	80	41	276	129	80	0.4	0.120879	42	2.8	3	17	9	17	8	0	1	5.44728	26.6667	64.8111	-3.18819	34	85	52.1667	57.1042	175.667	-3.84792	23	23	23	120	98	2.26667	3	1.33333	1	4	2.06667	1	3	1.4	1	4	2.26667	1	2	0.805556	0.25	1	0.666667	0.25	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
14	5	2.92857	17.2857	11.2143	70	41	242	157	56	0.230769	0.151515	33	2.53846	8	15	6	8	6	0	0	5.31275	18.6667	41.5556	-2.89569	29	65	47	46.1429	114.667	-3.36189	21	21	21	91	91	2.23077	2	1.15385	1	4	2.23077	1	2	1.15385	1	4	2.23077	1	1	0.621795	0.25	1	0.621795	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
