n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
7	3.71429	1.71429	9.42857	3.42857	26	12	66	24	8	0.5	0.2	12	2	3	8	3	8	4	0	0	0.75	2.66667	3	-1.5396	11	16	13	13.619	9.86667	-1.59179	8	8	8	21	21	1.83333	1	1	1	3	1.66667	1	2	1.16667	1	3	1.83333	1	2	0.888889	0.333333	1	0.638889	0.333333	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
6	4	2.83333	12.6667	10.8333	24	17	76	65	3	0.2	0.5	6	1.2	3	5	5	7	3	0	0	0	1	1	-1	15	11.6667	10.5	10.8333	5.75556	1.38943	7	7	7	15	15	3	2	1.2	1	4	2.8	1	2	1.2	1	5	3	1	1	0.516667	0.25	1	0.496667	0.25	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0
26	6.07692	3.73077	27.5385	18.9615	158	97	716	493	246	0.24	0.108696	60	2.4	15	27	15	27	8	3	0	8.95232	82	310	-4.65729	63	225	115.5	126.5	896.4	-5.41083	47	47	47	296	235	2.52	2	1.24	1	6	2.36	1	2	1.28	1	6	2.52	1	2	0.698	0.166667	1	0.604667	0.166667	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
28	5.64286	3.10714	21.2143	11.25	158	87	594	315	299	0.333333	0.08	86	3.18519	6	8	8	29	9	3	0	10.5224	99.6667	405.189	-4.95132	75	261	130.833	140.417	1080.73	-5.65788	48	48	48	348	272	2.77778	3	1.77778	1	5	2.59259	1	3	1.85185	1	5	2.77778	1	2	0.801852	0.333333	1	0.687654	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
13	4.61538	2.46154	14.3077	7.84615	60	32	186	102	48	0.166667	0.127273	23	1.91667	4	14	4	14	6	2	0	2.17661	16	32.4889	-2.80707	27	56	32.1667	38.7692	86.8	-3.11271	19	19	19	70	50	2.25	2	1.41667	1	4	1.91667	1	2	1.5	1	5	2.25	1	2	0.902778	0.5	1	0.727778	0.4	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
21	6.85714	4.66667	37.9048	28.0952	144	98	796	590	138	0.4	0.192982	42	2.1	9	20	9	22	7	1	0	11.5372	46	147.244	-3.79087	60	146.667	94.3333	95.619	494.756	-3.89634	41	41	41	204	191	3	2	1.2	1	5	2.3	1	5	1.75	1	6	3	1	5	1.23833	0.2	1	0.5025	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
6	3.33333	1.5	7.66667	2.83333	20	9	46	17	5	0.4	0.166667	10	2	5	7	3	5	4	0	0	0	1.66667	1.68889	-1.28247	9	11.6667	9.83333	10.2778	5.44444	-1.14286	6	6	6	15	15	1.8	2	1.4	1	2	1.6	1	2	1.4	1	3	1.8	1	1	0.9	0.5	1	0.833333	0.5	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
4	2.5	1.25	4.5	2.25	10	5	18	9	1	0	0	4	1.33333	1	3	1	3	3	0	0	0	0.333333	0.222222	-0.707107	4	5	4.5	4.75	1	-1	3	3	3	6	6	1.33333	1	1	1	2	1.33333	1	1	1	1	2	1.33333	1	1	0.833333	0.5	1	0.833333	0.5	0	0	1	1	1	1	0	0	0	0	1	1	1	1	0
21	5.71429	3.33333	23.619	14.0952	120	70	496	296	150	0.35	0.122807	48	2.4	2	11	11	22	7	3	0	7.79159	50	156.089	-4.00206	68	146.667	82.6667	88.6349	444.889	-3.72962	37	37	37	192	164	3.4	3	1.85	1	5	2.7	1	3	2	1	7	3.4	1	3	0.9125	0.4	1	0.613095	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
22	5.72727	3.40909	23.4545	15.1364	126	75	516	333	168	0.333333	0.115789	48	2.28571	12	23	12	23	6	4	0	9.68181	56	179.989	-4.17412	54	161	87.8333	92.5606	515.2	-4.71407	40	40	40	201	173	2.57143	2	1.28571	1	4	2.09524	1	3	1.47619	1	5	2.57143	1	3	0.896825	0.333333	1	0.566667	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
8	5.75	4.625	28.75	27.125	46	37	230	217	5	0.428571	0.666667	8	1.14286	3	6	3	9	3	0	0	0	1.66667	2.22222	-1.11803	15	21	19.1667	19.5417	19	-1.37649	13	13	13	28	28	2.14286	2	1.14286	1	3	1.57143	1	3	1.57143	1	3	2.14286	1	3	1.2619	0.333333	1	0.619048	0.333333	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0
8	4.25	2.625	13	9.125	34	21	104	73	11	0.285714	0.266667	10	1.42857	4	9	4	9	4	0	0	0.954545	3.66667	4.66667	-1.69734	14	21	16.1667	17.625	16.6	-1.71808	10	10	10	28	25	2	1	1	1	3	1.85714	1	2	1.14286	1	3	2	1	2	0.809524	0.333333	1	0.595238	0.333333	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
22	4.81818	2.22727	14.4545	5.59091	106	49	318	123	178	0.333333	0.0631579	73	3.47619	10	12	10	12	11	0	0	6.22174	59.3333	193.844	-4.26159	44	161	80.3333	97.2121	469.2	-5.40141	31	31	31	231	153	2.09524	3	1.2381	1	4	1.85714	1	3	1.28571	1	5	2.09524	1	2	0.801587	0.333333	1	0.689683	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
20	5.8	3.35	23.8	12.95	116	67	476	259	132	0.315789	0.137255	48	2.52632	4	7	4	21	7	0	0	7.3593	44	135.8	-3.77575	55	133	72.1667	85.8833	385	-3.97525	33	33	33	190	135	2.89474	2	1.52632	1	6	2.73684	1	3	1.63158	1	6	2.89474	1	2	0.760526	0.166667	1	0.620175	0.166667	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
18	5.66667	3.61111	25.8889	20.6111	102	65	466	371	102	0.411765	0.15	33	1.94118	5	13	5	19	7	2	0	4.02938	34	90.7	-3.57006	42	107.667	62.3333	69.6296	272.756	-3.97611	31	31	31	143	113	2.47059	2	1.29412	1	4	2.05882	1	3	1.52941	1	5	2.47059	1	3	0.946078	0.25	1	0.616667	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
26	5.23077	2.73077	17.8462	9.26923	136	71	464	241	257	0.28	0.0688406	68	2.72	2	15	15	27	9	3	0	8.09551	85.6667	321.156	-4.78029	57	225	101.167	122.628	823.8	-5.85327	42	42	42	304	196	2.28	2	1.44	1	4	2.08	1	2	1.52	1	4	2.28	1	2	0.846667	0.333333	1	0.693333	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
11	5.63636	3.45455	25.2727	14.5455	62	38	278	160	24	0.1	0.333333	17	1.7	4	12	10	12	4	0	0	2.66757	8	14.9111	-2.07174	27	40	27.5	32.4242	55.6	-1.74344	18	18	18	55	43	2.7	1	1	1	6	2.7	1	1	1	1	6	2.7	1	1	0.545	0.166667	1	0.545	0.166667	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
7	4.28571	2.57143	13.7143	7.71429	30	18	96	54	6	0.166667	0.4	9	1.5	3	5	3	8	3	0	0	0	2	2.4	-1.29099	10	16	13.5	14.2857	10.4	-1.86052	9	9	9	21	21	1.66667	1	1	1	3	1.66667	1	1	1	1	3	1.66667	1	1	0.722222	0.333333	1	0.722222	0.333333	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0
8	4.25	2.125	13	5.375	34	17	104	43	11	0.285714	0.266667	14	2	2	9	2	9	4	0	0	0.954545	3.66667	4.66667	-1.69734	14	21	16.8333	17.625	16.6	-1.71808	10	10	10	28	28	2	2	1.28571	1	3	1.57143	1	2	1.42857	1	4	2	1	2	1.02381	0.5	1	0.738095	0.5	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
26	5.30769	2.73077	19.2308	9.5	138	71	500	247	256	0.24	0.0724638	57	2.28	7	15	15	27	7	10	0	8.7783	85.3333	311.289	-4.83656	63	225	90	111.026	830.4	-5.62175	52	52	52	219	156	2.52	3	1.48	1	4	2.04	1	3	1.72	1	5	2.52	1	3	0.98	0.333333	1	0.649333	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
31	5.54839	2.83871	22.8387	11.6129	172	88	708	360	379	0.4	0.0665025	86	2.86667	1	32	11	32	10	8	0	10.28	126.333	556.467	-5.35548	113	320	125.333	157.14	1465.6	-5.40708	59	59	59	384	237	3.76667	3	1.76667	1	4	2.16667	1	6	3.06667	1	7	3.76667	1	5	1.62222	0.5	1	0.539524	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	7	4.95	40.6	32.75	140	99	812	655	120	0.210526	0.215686	34	1.78947	7	13	7	13	5	3	0	8.28452	40	121.167	-3.63386	52	133	84.1667	88.1833	429.8	-3.90708	42	42	42	174	162	2.73684	2	1.15789	1	6	2.47368	1	2	1.26316	1	6	2.73684	1	2	0.738596	0.166667	1	0.536842	0.166667	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
18	4.66667	2.05556	13.8889	4.94444	84	37	250	89	111	0.470588	0.075	73	4.29412	4	8	8	10	9	1	0	2.24339	37	98.9667	-3.71927	31	107.667	69.6667	67.4444	246.156	-4.88654	25	25	25	150	135	1.82353	2	1.11765	1	3	1.70588	1	2	1.17647	1	4	1.82353	1	2	0.823529	0.333333	1	0.72549	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
19	5.57895	3.05263	22.4211	11.3684	106	58	426	216	118	0.222222	0.132353	42	2.33333	3	11	3	20	7	1	0	6.40938	39.3333	113.844	-3.68642	45	120	60	76.2105	320.667	-4.18827	31	31	31	165	105	2.5	2	1.38889	1	5	2.33333	1	2	1.44444	1	5	2.5	1	2	0.765741	0.2	1	0.65463	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
17	5.05882	2.58824	17.4118	8	86	44	296	136	93	0.3125	0.114286	46	2.875	5	7	7	18	7	1	0	3.95672	31	79.1667	-3.4841	44	96	59	61.9216	214.2	-3.55299	26	26	26	132	114	2.75	2	1.75	1	5	2.5	1	3	1.875	1	5	2.75	1	2	0.879167	0.4	1	0.702083	0.4	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
12	4.66667	2.41667	14.8333	6.91667	56	29	178	83	38	0.272727	0.155556	24	2.18182	6	13	6	13	6	0	0	2.0438	12.6667	23.2444	-2.62726	19	47.6667	32.1667	34.8611	67.3111	-3.49409	16	16	16	66	58	1.72727	1	1	1	3	1.72727	1	1	1	1	3	1.72727	1	1	0.69697	0.333333	1	0.69697	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
20	5.7	3.15	25.3	13.85	114	63	506	277	133	0.263158	0.130719	44	2.31579	1	15	15	21	7	3	0	7.39488	44.3333	131.311	-3.86883	57	133	66.5	82.2167	381.267	-3.89224	36	36	36	171	119	3	3	1.47368	1	6	2.57895	1	3	1.63158	1	6	3	1	2	0.804386	0.166667	1	0.581579	0.166667	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
9	4.66667	2.88889	15.7778	10.2222	42	26	142	92	15	0.375	0.285714	13	1.625	5	10	5	10	4	0	0	2.03409	5	7.3	-1.85058	15	26.6667	21.1667	22	25.8889	-2.29293	12	12	12	36	36	1.875	2	1.125	1	3	1.625	1	2	1.25	1	3	1.875	1	2	0.916667	0.333333	1	0.6875	0.333333	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
24	5	2.45833	15.6667	6.95833	120	59	376	167	216	0.391304	0.0649351	62	2.69565	8	21	8	21	9	3	0	7.65178	72	250.7	-4.54732	66	191.667	84.1667	104.986	627.222	-5.01775	38	38	38	250	158	2.86957	2	1.56522	1	6	2.52174	1	3	1.69565	1	6	2.86957	1	2	0.828986	0.333333	1	0.631884	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
13	5.53846	3.38462	24	14.7692	72	44	312	192	42	0.333333	0.236364	24	2	7	10	7	14	5	1	0	3.67996	14	28.1556	-2.63843	25	56	40.6667	41.4872	95.2	-3.17719	21	21	21	75	75	2.08333	2	1.08333	1	4	1.91667	1	2	1.16667	1	4	2.08333	1	2	0.784722	0.25	1	0.631944	0.25	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
17	6.11765	4	29.0588	20.7059	104	68	494	352	84	0.375	0.2	30	1.875	4	9	9	18	5	2	0	4.03662	28	71.1111	-3.32039	39	96	62.3333	64.7843	237.6	-3.69787	31	31	31	128	118	2.4375	2	1.25	1	4	1.9375	1	3	1.5625	1	4	2.4375	1	3	1.03646	0.25	1	0.578125	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
18	6.44444	4.38889	32.2222	24.6111	116	79	580	443	95	0.235294	0.208333	35	2.05882	10	19	10	19	6	0	0	6.77736	31.6667	90.0111	-3.33775	43	107.667	72.6667	74.2593	293.444	-3.775	33	33	33	153	143	2.52941	2	1.05882	1	6	2.47059	1	2	1.11765	1	6	2.52941	1	2	0.644118	0.166667	1	0.555882	0.166667	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
10	4.4	2.3	13.2	6.3	44	23	132	63	23	0.222222	0.178571	18	2	7	11	7	11	4	1	0	2.00216	7.66667	11.6889	-2.24244	19	33	24.1667	25.1667	35.9333	-2.3355	14	14	14	42	42	2.11111	2	1.22222	1	4	2.11111	1	2	1.22222	1	4	2.11111	1	1	0.666667	0.333333	1	0.666667	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
15	4.8	2.4	15.0667	6.53333	72	36	226	98	69	0.285714	0.115385	38	2.71429	6	14	14	16	7	0	0	4.42556	23	53.7	-3.13863	45	74.6667	46	51.0222	140.089	-2.5065	21	21	21	105	85	3.21429	2	1.42857	1	6	3	1	3	1.5	1	6	3.21429	1	1	0.588095	0.25	1	0.544048	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
12	4.83333	2.41667	16.8333	7.41667	58	29	202	89	37	0.363636	0.177778	26	2.36364	10	13	10	13	6	0	0	2.38035	12.3333	23.2889	-2.55568	28	47.6667	32.1667	35.3611	68.4667	-2.37679	17	17	17	66	57	2.54545	2	1.36364	1	4	2.18182	1	2	1.45455	1	5	2.54545	1	2	0.840909	0.25	1	0.65	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
29	5.03448	2.41379	16	6.96552	146	70	464	202	333	0.5	0.0512821	77	2.75	0	11	11	30	9	10	0	11.069	111	463.233	-5.15731	80	280	98.5	131.586	1131	-5.94701	51	51	51	293	167	2.85714	3	1.78571	1	4	2.14286	1	3	2.14286	1	5	2.85714	1	3	1.13095	0.5	1	0.664881	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
23	6.34783	4.08696	30.6087	21.8261	146	94	704	502	180	0.5	0.142857	51	2.31818	14	24	3	24	8	1	0	7.00131	60	208.7	-4.15327	52	176	98.8333	109.768	628	-4.94814	42	42	42	251	196	2.36364	2	1.27273	1	4	1.81818	1	4	1.63636	1	5	2.36364	1	4	1.15909	0.333333	1	0.620455	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5.3	2.65	20.2	9.35	106	53	404	187	137	0.473684	0.104575	92	4.84211	7	21	11	21	10	0	0	5.60576	45.6667	140.5	-3.85266	37	133	88.5	84.9167	366.333	-5.01572	30	30	30	190	173	1.94737	2	1.10526	1	4	1.73684	1	3	1.31579	1	4	1.94737	1	3	0.97807	0.25	1	0.679825	0.25	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0
15	4.93333	2.66667	16.2667	8.53333	74	40	244	128	68	0.357143	0.128205	35	2.5	6	9	6	16	7	0	0	3.49514	22.6667	51.8667	-3.14734	29	74.6667	49.1667	51.0222	142.044	-3.83166	21	21	21	105	95	2.07143	2	1.14286	1	4	1.85714	1	2	1.28571	1	4	2.07143	1	2	0.875	0.25	1	0.636905	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
21	5.52381	3.04762	21.0476	10.9524	116	64	442	230	152	0.4	0.111111	46	2.3	2	22	2	22	8	1	0	4.70253	50.6667	156.7	-4.04751	51	146.667	72.6667	89.4921	436.578	-4.57857	34	34	34	205	135	2.55	3	1.55	1	5	2.25	1	4	1.75	1	5	2.55	1	2	0.9075	0.25	1	0.686667	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
15	4.53333	2.13333	13.4667	5.73333	68	32	202	86	71	0.285714	0.0897436	31	2.21429	4	16	4	16	8	3	0	3.496	23.6667	54.4778	-3.20647	34	74.6667	37.1667	48	136.178	-3.48486	22	22	22	93	57	2.42857	2	1.42857	1	4	2.07143	1	2	1.57143	1	4	2.42857	1	2	0.934524	0.25	1	0.660714	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5.9	3.55	25.3	15.35	118	71	506	307	131	0.315789	0.143791	42	2.21053	2	3	2	15	7	1	0	8.12278	43.6667	132.478	-3.79384	55	133	72.5	84.85	388.733	-3.95611	34	34	34	186	136	2.89474	2	1.31579	1	5	2.47368	1	3	1.73684	1	5	2.89474	1	3	0.909649	0.2	1	0.531579	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
17	5.17647	2.82353	18.4706	9.76471	88	48	314	166	92	0.3125	0.12381	38	2.375	9	18	9	18	6	2	0	3.56184	30.6667	76.5	-3.50619	33	96	58.6667	61.098	216.8	-4.27869	27	27	27	126	114	2.0625	2	1.125	1	4	1.875	1	2	1.25	1	4	2.0625	1	2	0.848958	0.25	1	0.640625	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
23	5.04348	2.43478	18.087	8.52174	116	56	416	196	195	0.409091	0.0714286	57	2.59091	13	24	13	24	8	6	1	7.83444	65	215.256	-4.36217	58	176	77.5	94.9275	552	-5.02241	38	38	38	208	141	2.63636	2	1.36364	1	5	2.31818	1	3	1.59091	1	6	2.63636	1	2	0.881818	0.25	1	0.609091	0.25	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
9	5.55556	4.22222	26.4444	24.2222	50	38	238	218	11	0.125	0.47619	11	1.375	5	10	8	10	4	0	0	1.30374	3.66667	5.72222	-1.53281	36	26.6667	22.8333	23.4074	28.1111	1.76034	14	14	14	36	36	4.5	2	1.25	1	7	4.25	1	2	1.25	1	8	4.5	1	1	0.383631	0.166667	1	0.373214	0.166667	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
20	4.9	2.35	15.4	6.35	98	47	308	127	141	0.473684	0.0784314	52	2.73684	1	11	1	11	9	1	0	4.23673	47	138.644	-3.9916	42	133	64.1667	80.85	351.4	-4.85446	29	29	29	186	116	2.21053	2	1.52632	1	3	1.89474	1	3	1.73684	1	4	2.21053	1	2	1.00877	0.5	1	0.736842	0.5	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
12	5.16667	3.25	19.3333	13.4167	62	39	232	161	35	0.0909091	0.222222	17	1.54545	7	13	7	13	4	1	0	3.39986	11.6667	21.4556	-2.5187	25	47.6667	31.3333	35.5556	70.7778	-2.69426	19	19	19	63	51	2.27273	2	1.09091	1	4	2.27273	1	2	1.09091	1	4	2.27273	1	1	0.606061	0.25	1	0.606061	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
21	4.95238	2.38095	16.1905	6.95238	104	50	340	146	158	0.35	0.0760234	72	3.6	1	2	5	22	11	0	0	6.89455	52.6667	164.289	-4.10896	63	146.667	79.6667	90.1905	411.644	-4.12374	30	30	30	210	154	3.15	3	1.7	1	7	3	1	3	1.75	1	8	3.15	1	2	0.749762	0.333333	1	0.668512	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
13	5.07692	3.07692	18.4615	12.4615	66	40	240	162	45	0.416667	0.181818	28	2.33333	5	7	7	14	5	1	0	3.19962	15	31.8556	-2.65766	23	56	40.6667	40.5128	91	-3.45934	20	20	20	75	75	1.91667	2	1.08333	1	3	1.66667	1	2	1.25	1	3	1.91667	1	2	0.930556	0.333333	1	0.652778	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
24	5.5	2.875	20.9167	9.95833	132	69	502	239	210	0.347826	0.0909091	69	3	13	17	13	25	7	5	0	7.89473	70	240.789	-4.51107	69	191.667	99.3333	105.917	660.556	-4.77279	43	43	48	240	195	3	3	1.56522	1	6	2.82609	1	3	1.65217	1	6	3	1	2	0.731159	0.25	1	0.622464	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5.8	3.15	24.4	12.05	116	63	488	241	132	0.263158	0.137255	63	3.31579	9	16	9	16	7	2	0	9.00149	44	131.922	-3.83084	50	133	88.6667	83.1	385	-4.23007	35	35	35	182	182	2.63158	2	1.15789	1	5	2.52632	1	2	1.15789	1	5	2.63158	1	1	0.57193	0.2	1	0.557895	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
21	5.04762	2.47619	16.7619	7.2381	106	52	352	152	157	0.5	0.0818713	64	3.2	11	22	11	22	8	4	0	4.01445	52.3333	162.044	-4.11113	44	146.667	82.6667	84.0317	415.8	-5.03486	35	35	36	182	165	2.2	2	1.4	1	4	1.75	1	3	1.7	1	4	2.2	1	3	1.10833	0.5	1	0.7	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
8	3.75	1.875	9.25	4.625	30	15	74	37	13	0.285714	0.133333	12	1.71429	3	5	3	5	5	0	0	0.454545	4.33333	5.42222	-1.86094	10	21	15.1667	16.9583	15.8	-2.76735	9	9	9	28	24	1.42857	1	1	1	2	1.42857	1	1	1	1	2	1.42857	1	1	0.785714	0.5	1	0.785714	0.5	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
28	5.28571	2.53571	19.2857	8.46429	148	71	540	237	304	0.407407	0.0646154	92	3.40741	18	29	8	29	10	5	1	8.53202	101.333	412.444	-4.9404	59	261	114.5	136.226	1042.07	-6.25754	46	46	46	335	225	2.18519	2	1.22222	1	3	1.74074	1	4	1.55556	1	5	2.18519	1	3	1.04321	0.333333	1	0.644444	0.333333	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
17	5.29412	2.94118	19.1765	10.1176	90	50	326	172	91	0.1875	0.133333	38	2.375	3	6	3	18	7	0	0	6.46024	30.3333	77.3778	-3.44836	40	96	58.6667	63.6078	219.4	-3.78068	26	26	26	136	114	2.5	3	1.4375	1	4	2.3125	1	3	1.5	1	4	2.5	1	2	0.755208	0.333333	1	0.630208	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
21	5.90476	3.42857	26.7619	15.5238	124	72	562	326	148	0.25	0.134503	52	2.6	10	22	10	22	8	1	0	11.5347	49.3333	162.222	-3.87334	63	146.667	73.6667	92.1905	453.2	-3.93014	36	36	36	202	130	3.15	3	1.45	1	7	2.65	1	3	1.55	1	8	3.15	1	2	0.788452	0.25	1	0.571786	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
25	5.36	2.88	19.44	10.56	134	72	486	264	233	0.291667	0.0790514	61	2.54167	6	15	15	26	7	6	0	14.311	77.6667	281.789	-4.62671	65	208	94.8333	111.2	739.267	-5.25939	44	44	44	250	182	2.70833	2	1.33333	1	4	2.29167	1	3	1.45833	1	5	2.70833	1	2	0.784722	0.25	1	0.565278	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
7	3.71429	2	9.42857	5.14286	26	14	66	36	8	0.333333	0.2	10	1.66667	4	8	4	8	4	0	0	0.571429	2.66667	3	-1.5396	9	16	13	13.619	9.86667	-2.2285	8	8	8	21	21	1.5	1	1	1	2	1.5	1	1	1	1	2	1.5	1	1	0.75	0.5	1	0.75	0.5	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
19	6.52632	4.21053	33.1579	21.4737	124	80	630	408	109	0.277778	0.198529	41	2.27778	9	20	9	20	6	1	0	7.34672	36.3333	105.944	-3.52993	42	120	78.8333	80.7018	350.667	-4.16531	36	36	36	169	156	2.33333	2	1.05556	1	4	2.11111	1	3	1.22222	1	4	2.33333	1	3	0.819444	0.25	1	0.569444	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
17	4.94118	2.70588	16.3529	9.76471	84	46	278	166	94	0.4375	0.104762	33	2.0625	9	18	1	18	6	4	0	5.31975	31.3333	78.8889	-3.52776	42	96	51.1667	59.0196	211.6	-3.71224	29	29	29	112	90	2.625	2	1.375	1	3	1.6875	1	4	1.9375	1	5	2.625	1	4	1.36458	0.5	1	0.613542	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5.4	2.95	19.6	9.95	108	59	392	199	136	0.368421	0.111111	50	2.63158	9	12	9	12	7	1	1	7.49064	45.3333	134.156	-3.8276	44	133	75.1667	82.55	370.067	-4.62647	32	32	32	187	148	2.31579	3	1.36842	1	4	2	1	3	1.47368	1	5	2.31579	1	2	0.864035	0.333333	1	0.658772	0.333333	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
11	4.18182	2.18182	11.6364	6.90909	46	24	128	76	32	0.3	0.111111	18	1.8	2	12	2	12	6	1	0	0.333333	10.6667	17.7889	-2.52903	23	40	25	28.9091	48.1333	-2.45034	14	14	14	52	40	2.3	3	1.5	1	3	1.7	1	3	1.8	1	4	2.3	1	3	1.21667	0.5	1	0.725	0.333333	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
13	5.23077	3.07692	19.3846	11.0769	68	40	252	144	44	0.333333	0.2	26	2.16667	2	5	2	14	5	0	0	2.14598	14.6667	30	-2.67775	27	56	41	41.1795	92.4	-3.01691	20	20	20	78	78	2.25	2	1.33333	1	4	1.91667	1	3	1.58333	1	4	2.25	1	3	1.04167	0.333333	1	0.666667	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
15	4.8	2.4	15.8667	7.33333	72	36	238	110	69	0.357143	0.115385	34	2.42857	8	16	8	16	6	3	0	4.17037	23	51.9333	-3.19157	49	74.6667	45	49.1556	140.089	-2.16854	24	24	24	93	82	3.5	3	1.92857	1	6	2.78571	1	3	2	1	8	3.5	1	2	0.846429	0.5	1	0.657398	0.375	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
8	4.25	2.625	13	9.125	34	21	104	73	11	0.142857	0.266667	10	1.42857	7	9	7	9	4	0	0	0	3.66667	4.66667	-1.69734	16	21	16.1667	17.625	16.6	-1.2272	10	10	10	28	25	2.28571	2	1.28571	1	4	2.14286	1	2	1.28571	1	4	2.28571	1	1	0.72619	0.25	1	0.678571	0.25	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
